ʾaʿadnā pos=V,mood=IND,gen=MASC,per=2,voice=ACT,num=SG,aspect=IPFV tuʿid
ʾabadin pos=N,def=DEF,case=NOM,num=SG al-ʾabad
ʿabadtum pos=V,mood=IND,tense=PRS,gen=FEM,per=3,voice=PASS,num=SG,aspect=IPFV tuʿbadu
ʾaʿbāʾin pos=N,def=DEF,case=NOM,num=SG al-ʿibʾ
ʾabatā pos=V,mood=IND,gen=MASC,per=3,voice=PASS,num=DU,aspect=IPFV yuʾbayā
ʾābāṭ pos=N,def=DEF,case=GEN,num=DU al-ʾibṭayni
ʾābāṭun pos=N,poss=PSSD,case=GEN,num=SG ʾibṭi
ʾabayta pos=V,mood=IMP,gen=FEM,per=2,voice=ACT,num=DU ībayā
ʾabāzīna pos=N,def=INDF,case=NOM,num=SG ʾabzanun
ʾabāžūrātun pos=N,def=DEF,case=NOM,num=SG al-ʾabāžūru
ʾabāžūrayni pos=N,def=DEF,case=ACC,num=DU al-ʾabāžūrayni
ʾabāžūrun pos=N,def=DEF,case=GEN,num=SG al-ʾabāžūri
ʿabbadā pos=V,mood=IND,tense=PST,gen=MASC,per=3,voice=PASS,num=DU,aspect=IPFV ʿubbidā
ʿabbāsayn pos=ADJ,def=DEF,case=NOM,gen=MASC,num=SG al-ʿabbāsu
ʿabbās pos=ADJ,def=INDF,case=NOM,gen=FEM,num=PL ʿabbāsāt
ʾabbidna pos=V,mood=SBJV,gen=FEM,per=2,voice=PASS,num=DU tuʾabbadā
ʿabbidū pos=V,mood=IND,tense=PRS,gen=FEM,per=2,voice=PASS,num=SG,aspect=IPFV tuʿabbadīna
ʿabbidū pos=V,mood=IND,tense=PRS,gen=FEM,per=3,voice=ACT,num=DU,aspect=IPFV tuʿabbidāni
ʾabdānin pos=N,poss=PSSD,case=NOM,num=SG badan
ʿabdāni pos=N,def=DEF,case=GEN,num=SG al-ʿabdi
ʾabdān pos=N,def=INDF,case=GEN,num=SG badanin
ʾabdaʾ pos=V,mood=IND,gen=FEM,per=2,voice=PASS,num=PL,aspect=IPFV tubdaʾna
ʾabdaʾu pos=V,mood=SBJV,gen=FEM,per=1,voice=PASS,num=PL nubdaʾa
ʾabdilā pos=V,mood=IND,tense=PRS,gen=MASC,per=2,voice=ACT,num=DU,aspect=IPFV tubdilāni
ʿabdu pos=N,def=INDF,case=ACC,num=SG ʿabdan
ʾabhamat pos=V,mood=IND,tense=PRS,gen=MASC,per=1,voice=PASS,num=PL,aspect=IPFV nubhamu
